,City,Country,Latitude,Longitude,Datetime,Max. temperature (F),Humidity (%),Cloud coverage (%),Wind speed (mph)
0,Ahipara,NZ,-35.17,173.17,2020-02-12 03:38:07,68.09,74,0,5.08
1,Mataura,NZ,-46.19,168.86,2020-02-12 03:38:07,64.0,76,78,5.99
2,Laguna,US,38.42,-121.42,2020-02-12 03:38:08,62.01,47,1,6.93
3,Coihaique,CL,-45.58,-72.07,2020-02-12 03:38:08,57.2,87,100,2.24
4,Karratha,AU,-20.74,116.85,2020-02-12 03:38:08,80.98,71,8,10.76
5,Kavaratti,IN,10.57,72.64,2020-02-12 03:38:08,82.4,78,20,6.71
6,Port Lincoln,AU,-34.73,135.87,2020-02-12 03:38:08,68.14,65,100,11.61
7,Porto Novo,BJ,6.5,2.6,2020-02-12 03:33:51,80.6,78,20,4.7
8,Iqaluit,CA,63.75,-68.51,2020-02-12 03:38:08,-29.0,60,20,16.11
9,Hithadhoo,MV,-0.6,73.08,2020-02-12 03:38:08,83.08,74,62,18.07
10,Bathsheba,BB,13.22,-59.52,2020-02-12 03:38:08,78.8,74,40,23.04
11,Busselton,AU,-33.65,115.33,2020-02-12 03:38:08,90.0,45,100,4.0
12,Serebryansk,KZ,49.69,83.29,2020-02-12 03:38:10,-16.6,75,20,2.55
13,Boden,SE,65.83,21.69,2020-02-12 03:38:10,24.8,92,100,2.24
14,Tilichiki,RU,60.47,166.1,2020-02-12 03:38:10,-9.31,95,100,14.63
15,Sakaraha,MG,-22.9,44.53,2020-02-12 03:38:11,68.68,64,0,4.47
16,Asheville,US,35.6,-82.55,2020-02-12 03:34:44,59.0,81,75,14.99
17,Karakendzha,EC,-0.74,-90.35,2020-02-12 03:38:11,78.64,82,68,4.47
18,Puerto Ayora,GL,72.79,-56.15,2020-02-12 03:38:11,-8.54,75,100,2.26
19,Upernavik,AU,-42.88,147.33,2020-02-12 03:37:10,70.0,77,75,16.11
20,Illoqqortoormiut,BR,-5.2,-35.46,2020-02-12 03:34:44,77.0,83,20,3.36
21,Hobart,BR,-24.79,-50.01,2020-02-12 03:38:13,58.42,96,84,8.01
22,Touros,MR,20.93,-17.03,2020-02-12 03:38:13,62.6,67,0,11.41
23,Castro,MZ,-19.61,34.74,2020-02-12 03:38:13,84.2,74,75,19.46
